Time	(LW,G1)	(G1,G2)	(G2,G3)	(G3,G4)	(G4,G5)	(G5,G6)	(G6,G7)	(G7,G8)	(G8,G9)	(G9,G10)	(G10,G11)	(G11,G12)	(G12,G13)	(G13,G14)	(G14,G15)	(G15,G16)	(G16,G17)	(G17,G18)	(G18,G19)	(G19,G20)	(G20,G21)	(G21,G22)	(G22,G23)	(G23,G24)	(G24,G25)	(G25,G26)	(G26,G27)	(G27,G28)	(G28,G29)	(G29,G30)	(G30,G31)	(G31,G32)	(G32,G33)	(G33,G34)	(G34,G35)	(G35,G36)	(G36,G37)	(G37,G38)	(G38,G39)	(G39,G40)	(G40,G41)	(G41,G42)	(G42,G43)	(G43,G44)	(G44,G45)	(G45,G46)	(G46,G47)	(G47,G48)	(G48,G49)	(G49,G50)	(G50,G51)	(G51,G52)	(G52,G53)	(G53,G54)	(G54,G55)	(G55,G56)	(G56,G57)	(G57,G58)	(G58,G59)	(G59,G60)	(G60,G61)	(G61,G62)	(G62,G63)	(G63,G64)	(G64,G65)	(G65,G66)	(G66,G67)	(G67,G68)	(G68,G69)	(G69,G70)	(G70,G71)	(G71,G72)	(G72,G73)	(G73,G74)	(G74,G75)	(G75,G76)	(G76,G77)	(G77,G78)	(G78,G79)	(G79,G80)	(G80,G81)	(G81,G82)	(G82,G83)	(G83,G84)	(G84,G85)	(G85,G86)	(G86,G87)	(G87,G88)	(G88,G89)	(G89,G90)	(G90,G91)	(G91,G92)	(G92,G93)	(G93,G94)	(G94,G95)	(G95,G96)	(G96,G97)	(G97,G98)	(G98,G99)	(G99,G100)	(G100,RW)
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5e-06	0	8.47227e-07	6.419e-13	6.84675e-24	1.13744e-41	1.80364e-69	3.34454e-112	2.82304e-177	7.91575e-276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1e-05	0	4.41156e-06	2.6592e-10	1.89894e-18	5.39257e-32	1.90234e-53	1.16812e-86	1.87682e-137	1.38122e-214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.5e-05	0	1.01779e-05	8.47814e-09	2.76167e-15	2.34436e-26	4.23036e-44	9.45937e-72	3.33181e-114	7.94787e-179	1.11095e-276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2e-05	0	1.55333e-05	9.06524e-08	4.53101e-13	2.19307e-22	1.67319e-37	3.22667e-61	9.06471e-98	1.53664e-153	4.06328e-238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.5e-05	0	1.75075e-05	5.10952e-07	2.18002e-11	2.4274e-19	1.98703e-32	4.20679e-53	4.27189e-85	4.95903e-134	2.3448e-208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3e-05	0	1.5075e-05	1.84431e-06	4.68554e-10	6.7647e-17	2.48361e-28	1.55231e-46	7.92568e-75	3.26389e-118	3.25114e-184	3.98773e-284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.5e-05	0	9.90539e-06	4.70438e-06	5.61186e-09	7.08176e-15	6.36051e-25	4.69976e-41	3.04843e-66	5.64722e-105	5.34593e-164	1.91642e-253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4e-05	0	4.80802e-06	8.95266e-06	4.26263e-08	3.53022e-13	4.95913e-22	2.19929e-36	6.53453e-59	1.17692e-93	1.06279e-146	3.53872e-227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4.5e-05	0	1.57549e-06	1.31083e-05	2.22743e-07	9.75475e-12	1.51862e-19	2.39159e-32	1.4759e-52	7.87551e-84	1.1399e-131	2.42646e-204	2.45992e-314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
