Time	Grain1	Grain2	Grain3	Grain4	Grain5	Grain6	Grain7	Grain8	Grain9	Grain10	Grain11	Grain12	Grain13	Grain14	Grain15	Grain16	Grain17	Grain18	Grain19	Grain20	Grain21	Grain22	Grain23	Grain24	Grain25	Grain26	Grain27	Grain28	Grain29	Grain30	Grain31	Grain32	Grain33	Grain34	Grain35	Grain36	Grain37	Grain38	Grain39	Grain40	Grain41	Grain42	Grain43	Grain44	Grain45	Grain46	Grain47	Grain48	Grain49	Grain50	Grain51	Grain52	Grain53	Grain54	Grain55	Grain56	Grain57	Grain58	Grain59	Grain60	Grain61	Grain62	Grain63	Grain64	Grain65	Grain66	Grain67	Grain68	Grain69	Grain70	Grain71	Grain72	Grain73	Grain74	Grain75	Grain76	Grain77	Grain78	Grain79	Grain80	Grain81	Grain82	Grain83	Grain84	Grain85	Grain86	Grain87	Grain88	Grain89	Grain90	Grain91	Grain92	Grain93	Grain94	Grain95	Grain96	Grain97	Grain98	Grain99	Grain100
0	0.006	0.018	0.03	0.042	0.054	0.066	0.078	0.09	0.102	0.114	0.126	0.138	0.15	0.162	0.174	0.186	0.198	0.21	0.222	0.234	0.246	0.258	0.27	0.282	0.294	0.306	0.318	0.33	0.342	0.354	0.366	0.378	0.39	0.402	0.414	0.426	0.438	0.45	0.462	0.474	0.486	0.498	0.51	0.522	0.534	0.546	0.558	0.57	0.582	0.594	0.606	0.618	0.63	0.642	0.654	0.666	0.678	0.69	0.702	0.714	0.726	0.738	0.75	0.762	0.774	0.786	0.798	0.81	0.822	0.834	0.846	0.858	0.87	0.882	0.894	0.906	0.918	0.93	0.942	0.954	0.966	0.978	0.99	1.002	1.014	1.026	1.038	1.05	1.062	1.074	1.086	1.098	1.11	1.122	1.134	1.146	1.158	1.17	1.182	1.194
5e-06	0.00600049	0.018	0.03	0.042	0.054	0.066	0.078	0.09	0.102	0.114	0.126	0.138	0.15	0.162	0.174	0.186	0.198	0.21	0.222	0.234	0.246	0.258	0.27	0.282	0.294	0.306	0.318	0.33	0.342	0.354	0.366	0.378	0.39	0.402	0.414	0.426	0.438	0.45	0.462	0.474	0.486	0.498	0.51	0.522	0.534	0.546	0.558	0.57	0.582	0.594	0.606	0.618	0.63	0.642	0.654	0.666	0.678	0.69	0.702	0.714	0.726	0.738	0.75	0.762	0.774	0.786	0.798	0.81	0.822	0.834	0.846	0.858	0.87	0.882	0.894	0.906	0.918	0.93	0.942	0.954	0.966	0.978	0.99	1.002	1.014	1.026	1.038	1.05	1.062	1.074	1.086	1.098	1.11	1.122	1.134	1.146	1.158	1.17	1.182	1.194
1e-05	0.00600097	0.018	0.03	0.042	0.054	0.066	0.078	0.09	0.102	0.114	0.126	0.138	0.15	0.162	0.174	0.186	0.198	0.21	0.222	0.234	0.246	0.258	0.27	0.282	0.294	0.306	0.318	0.33	0.342	0.354	0.366	0.378	0.39	0.402	0.414	0.426	0.438	0.45	0.462	0.474	0.486	0.498	0.51	0.522	0.534	0.546	0.558	0.57	0.582	0.594	0.606	0.618	0.63	0.642	0.654	0.666	0.678	0.69	0.702	0.714	0.726	0.738	0.75	0.762	0.774	0.786	0.798	0.81	0.822	0.834	0.846	0.858	0.87	0.882	0.894	0.906	0.918	0.93	0.942	0.954	0.966	0.978	0.99	1.002	1.014	1.026	1.038	1.05	1.062	1.074	1.086	1.098	1.11	1.122	1.134	1.146	1.158	1.17	1.182	1.194
1.5e-05	0.00600141	0.0180001	0.03	0.042	0.054	0.066	0.078	0.09	0.102	0.114	0.126	0.138	0.15	0.162	0.174	0.186	0.198	0.21	0.222	0.234	0.246	0.258	0.27	0.282	0.294	0.306	0.318	0.33	0.342	0.354	0.366	0.378	0.39	0.402	0.414	0.426	0.438	0.45	0.462	0.474	0.486	0.498	0.51	0.522	0.534	0.546	0.558	0.57	0.582	0.594	0.606	0.618	0.63	0.642	0.654	0.666	0.678	0.69	0.702	0.714	0.726	0.738	0.75	0.762	0.774	0.786	0.798	0.81	0.822	0.834	0.846	0.858	0.87	0.882	0.894	0.906	0.918	0.93	0.942	0.954	0.966	0.978	0.99	1.002	1.014	1.026	1.038	1.05	1.062	1.074	1.086	1.098	1.11	1.122	1.134	1.146	1.158	1.17	1.182	1.194
2e-05	0.00600178	0.0180002	0.03	0.042	0.054	0.066	0.078	0.09	0.102	0.114	0.126	0.138	0.15	0.162	0.174	0.186	0.198	0.21	0.222	0.234	0.246	0.258	0.27	0.282	0.294	0.306	0.318	0.33	0.342	0.354	0.366	0.378	0.39	0.402	0.414	0.426	0.438	0.45	0.462	0.474	0.486	0.498	0.51	0.522	0.534	0.546	0.558	0.57	0.582	0.594	0.606	0.618	0.63	0.642	0.654	0.666	0.678	0.69	0.702	0.714	0.726	0.738	0.75	0.762	0.774	0.786	0.798	0.81	0.822	0.834	0.846	0.858	0.87	0.882	0.894	0.906	0.918	0.93	0.942	0.954	0.966	0.978	0.99	1.002	1.014	1.026	1.038	1.05	1.062	1.074	1.086	1.098	1.11	1.122	1.134	1.146	1.158	1.17	1.182	1.194
2.5e-05	0.00600206	0.0180004	0.03	0.042	0.054	0.066	0.078	0.09	0.102	0.114	0.126	0.138	0.15	0.162	0.174	0.186	0.198	0.21	0.222	0.234	0.246	0.258	0.27	0.282	0.294	0.306	0.318	0.33	0.342	0.354	0.366	0.378	0.39	0.402	0.414	0.426	0.438	0.45	0.462	0.474	0.486	0.498	0.51	0.522	0.534	0.546	0.558	0.57	0.582	0.594	0.606	0.618	0.63	0.642	0.654	0.666	0.678	0.69	0.702	0.714	0.726	0.738	0.75	0.762	0.774	0.786	0.798	0.81	0.822	0.834	0.846	0.858	0.87	0.882	0.894	0.906	0.918	0.93	0.942	0.954	0.966	0.978	0.99	1.002	1.014	1.026	1.038	1.05	1.062	1.074	1.086	1.098	1.11	1.122	1.134	1.146	1.158	1.17	1.182	1.194
3e-05	0.00600225	0.0180007	0.03	0.042	0.054	0.066	0.078	0.09	0.102	0.114	0.126	0.138	0.15	0.162	0.174	0.186	0.198	0.21	0.222	0.234	0.246	0.258	0.27	0.282	0.294	0.306	0.318	0.33	0.342	0.354	0.366	0.378	0.39	0.402	0.414	0.426	0.438	0.45	0.462	0.474	0.486	0.498	0.51	0.522	0.534	0.546	0.558	0.57	0.582	0.594	0.606	0.618	0.63	0.642	0.654	0.666	0.678	0.69	0.702	0.714	0.726	0.738	0.75	0.762	0.774	0.786	0.798	0.81	0.822	0.834	0.846	0.858	0.87	0.882	0.894	0.906	0.918	0.93	0.942	0.954	0.966	0.978	0.99	1.002	1.014	1.026	1.038	1.05	1.062	1.074	1.086	1.098	1.11	1.122	1.134	1.146	1.158	1.17	1.182	1.194
3.5e-05	0.00600236	0.018001	0.0300001	0.042	0.054	0.066	0.078	0.09	0.102	0.114	0.126	0.138	0.15	0.162	0.174	0.186	0.198	0.21	0.222	0.234	0.246	0.258	0.27	0.282	0.294	0.306	0.318	0.33	0.342	0.354	0.366	0.378	0.39	0.402	0.414	0.426	0.438	0.45	0.462	0.474	0.486	0.498	0.51	0.522	0.534	0.546	0.558	0.57	0.582	0.594	0.606	0.618	0.63	0.642	0.654	0.666	0.678	0.69	0.702	0.714	0.726	0.738	0.75	0.762	0.774	0.786	0.798	0.81	0.822	0.834	0.846	0.858	0.87	0.882	0.894	0.906	0.918	0.93	0.942	0.954	0.966	0.978	0.99	1.002	1.014	1.026	1.038	1.05	1.062	1.074	1.086	1.098	1.11	1.122	1.134	1.146	1.158	1.17	1.182	1.194
4e-05	0.0060024	0.0180014	0.0300002	0.042	0.054	0.066	0.078	0.09	0.102	0.114	0.126	0.138	0.15	0.162	0.174	0.186	0.198	0.21	0.222	0.234	0.246	0.258	0.27	0.282	0.294	0.306	0.318	0.33	0.342	0.354	0.366	0.378	0.39	0.402	0.414	0.426	0.438	0.45	0.462	0.474	0.486	0.498	0.51	0.522	0.534	0.546	0.558	0.57	0.582	0.594	0.606	0.618	0.63	0.642	0.654	0.666	0.678	0.69	0.702	0.714	0.726	0.738	0.75	0.762	0.774	0.786	0.798	0.81	0.822	0.834	0.846	0.858	0.87	0.882	0.894	0.906	0.918	0.93	0.942	0.954	0.966	0.978	0.99	1.002	1.014	1.026	1.038	1.05	1.062	1.074	1.086	1.098	1.11	1.122	1.134	1.146	1.158	1.17	1.182	1.194
4.5e-05	0.0060024	0.0180018	0.0300003	0.042	0.054	0.066	0.078	0.09	0.102	0.114	0.126	0.138	0.15	0.162	0.174	0.186	0.198	0.21	0.222	0.234	0.246	0.258	0.27	0.282	0.294	0.306	0.318	0.33	0.342	0.354	0.366	0.378	0.39	0.402	0.414	0.426	0.438	0.45	0.462	0.474	0.486	0.498	0.51	0.522	0.534	0.546	0.558	0.57	0.582	0.594	0.606	0.618	0.63	0.642	0.654	0.666	0.678	0.69	0.702	0.714	0.726	0.738	0.75	0.762	0.774	0.786	0.798	0.81	0.822	0.834	0.846	0.858	0.87	0.882	0.894	0.906	0.918	0.93	0.942	0.954	0.966	0.978	0.99	1.002	1.014	1.026	1.038	1.05	1.062	1.074	1.086	1.098	1.11	1.122	1.134	1.146	1.158	1.17	1.182	1.194
5e-05	0.00600237	0.0180021	0.0300005	0.042	0.054	0.066	0.078	0.09	0.102	0.114	0.126	0.138	0.15	0.162	0.174	0.186	0.198	0.21	0.222	0.234	0.246	0.258	0.27	0.282	0.294	0.306	0.318	0.33	0.342	0.354	0.366	0.378	0.39	0.402	0.414	0.426	0.438	0.45	0.462	0.474	0.486	0.498	0.51	0.522	0.534	0.546	0.558	0.57	0.582	0.594	0.606	0.618	0.63	0.642	0.654	0.666	0.678	0.69	0.702	0.714	0.726	0.738	0.75	0.762	0.774	0.786	0.798	0.81	0.822	0.834	0.846	0.858	0.87	0.882	0.894	0.906	0.918	0.93	0.942	0.954	0.966	0.978	0.99	1.002	1.014	1.026	1.038	1.05	1.062	1.074	1.086	1.098	1.11	1.122	1.134	1.146	1.158	1.17	1.182	1.194
5.5e-05	0.00600234	0.0180023	0.0300008	0.042	0.054	0.066	0.078	0.09	0.102	0.114	0.126	0.138	0.15	0.162	0.174	0.186	0.198	0.21	0.222	0.234	0.246	0.258	0.27	0.282	0.294	0.306	0.318	0.33	0.342	0.354	0.366	0.378	0.39	0.402	0.414	0.426	0.438	0.45	0.462	0.474	0.486	0.498	0.51	0.522	0.534	0.546	0.558	0.57	0.582	0.594	0.606	0.618	0.63	0.642	0.654	0.666	0.678	0.69	0.702	0.714	0.726	0.738	0.75	0.762	0.774	0.786	0.798	0.81	0.822	0.834	0.846	0.858	0.87	0.882	0.894	0.906	0.918	0.93	0.942	0.954	0.966	0.978	0.99	1.002	1.014	1.026	1.038	1.05	1.062	1.074	1.086	1.098	1.11	1.122	1.134	1.146	1.158	1.17	1.182	1.194
6e-05	0.0060023	0.0180024	0.0300011	0.0420001	0.054	0.066	0.078	0.09	0.102	0.114	0.126	0.138	0.15	0.162	0.174	0.186	0.198	0.21	0.222	0.234	0.246	0.258	0.27	0.282	0.294	0.306	0.318	0.33	0.342	0.354	0.366	0.378	0.39	0.402	0.414	0.426	0.438	0.45	0.462	0.474	0.486	0.498	0.51	0.522	0.534	0.546	0.558	0.57	0.582	0.594	0.606	0.618	0.63	0.642	0.654	0.666	0.678	0.69	0.702	0.714	0.726	0.738	0.75	0.762	0.774	0.786	0.798	0.81	0.822	0.834	0.846	0.858	0.87	0.882	0.894	0.906	0.918	0.93	0.942	0.954	0.966	0.978	0.99	1.002	1.014	1.026	1.038	1.05	1.062	1.074	1.086	1.098	1.11	1.122	1.134	1.146	1.158	1.17	1.182	1.194
6.5e-05	0.00600227	0.0180025	0.0300015	0.0420002	0.054	0.066	0.078	0.09	0.102	0.114	0.126	0.138	0.15	0.162	0.174	0.186	0.198	0.21	0.222	0.234	0.246	0.258	0.27	0.282	0.294	0.306	0.318	0.33	0.342	0.354	0.366	0.378	0.39	0.402	0.414	0.426	0.438	0.45	0.462	0.474	0.486	0.498	0.51	0.522	0.534	0.546	0.558	0.57	0.582	0.594	0.606	0.618	0.63	0.642	0.654	0.666	0.678	0.69	0.702	0.714	0.726	0.738	0.75	0.762	0.774	0.786	0.798	0.81	0.822	0.834	0.846	0.858	0.87	0.882	0.894	0.906	0.918	0.93	0.942	0.954	0.966	0.978	0.99	1.002	1.014	1.026	1.038	1.05	1.062	1.074	1.086	1.098	1.11	1.122	1.134	1.146	1.158	1.17	1.182	1.194
7e-05	0.00600223	0.0180025	0.0300018	0.0420004	0.054	0.066	0.078	0.09	0.102	0.114	0.126	0.138	0.15	0.162	0.174	0.186	0.198	0.21	0.222	0.234	0.246	0.258	0.27	0.282	0.294	0.306	0.318	0.33	0.342	0.354	0.366	0.378	0.39	0.402	0.414	0.426	0.438	0.45	0.462	0.474	0.486	0.498	0.51	0.522	0.534	0.546	0.558	0.57	0.582	0.594	0.606	0.618	0.63	0.642	0.654	0.666	0.678	0.69	0.702	0.714	0.726	0.738	0.75	0.762	0.774	0.786	0.798	0.81	0.822	0.834	0.846	0.858	0.87	0.882	0.894	0.906	0.918	0.93	0.942	0.954	0.966	0.978	0.99	1.002	1.014	1.026	1.038	1.05	1.062	1.074	1.086	1.098	1.11	1.122	1.134	1.146	1.158	1.17	1.182	1.194
7.5e-05	0.0060022	0.0180025	0.0300021	0.0420006	0.054	0.066	0.078	0.09	0.102	0.114	0.126	0.138	0.15	0.162	0.174	0.186	0.198	0.21	0.222	0.234	0.246	0.258	0.27	0.282	0.294	0.306	0.318	0.33	0.342	0.354	0.366	0.378	0.39	0.402	0.414	0.426	0.438	0.45	0.462	0.474	0.486	0.498	0.51	0.522	0.534	0.546	0.558	0.57	0.582	0.594	0.606	0.618	0.63	0.642	0.654	0.666	0.678	0.69	0.702	0.714	0.726	0.738	0.75	0.762	0.774	0.786	0.798	0.81	0.822	0.834	0.846	0.858	0.87	0.882	0.894	0.906	0.918	0.93	0.942	0.954	0.966	0.978	0.99	1.002	1.014	1.026	1.038	1.05	1.062	1.074	1.086	1.098	1.11	1.122	1.134	1.146	1.158	1.17	1.182	1.194
8e-05	0.00600216	0.0180025	0.0300023	0.0420009	0.0540001	0.066	0.078	0.09	0.102	0.114	0.126	0.138	0.15	0.162	0.174	0.186	0.198	0.21	0.222	0.234	0.246	0.258	0.27	0.282	0.294	0.306	0.318	0.33	0.342	0.354	0.366	0.378	0.39	0.402	0.414	0.426	0.438	0.45	0.462	0.474	0.486	0.498	0.51	0.522	0.534	0.546	0.558	0.57	0.582	0.594	0.606	0.618	0.63	0.642	0.654	0.666	0.678	0.69	0.702	0.714	0.726	0.738	0.75	0.762	0.774	0.786	0.798	0.81	0.822	0.834	0.846	0.858	0.87	0.882	0.894	0.906	0.918	0.93	0.942	0.954	0.966	0.978	0.99	1.002	1.014	1.026	1.038	1.05	1.062	1.074	1.086	1.098	1.11	1.122	1.134	1.146	1.158	1.17	1.182	1.194
8.5e-05	0.00600213	0.0180025	0.0300025	0.0420012	0.0540001	0.066	0.078	0.09	0.102	0.114	0.126	0.138	0.15	0.162	0.174	0.186	0.198	0.21	0.222	0.234	0.246	0.258	0.27	0.282	0.294	0.306	0.318	0.33	0.342	0.354	0.366	0.378	0.39	0.402	0.414	0.426	0.438	0.45	0.462	0.474	0.486	0.498	0.51	0.522	0.534	0.546	0.558	0.57	0.582	0.594	0.606	0.618	0.63	0.642	0.654	0.666	0.678	0.69	0.702	0.714	0.726	0.738	0.75	0.762	0.774	0.786	0.798	0.81	0.822	0.834	0.846	0.858	0.87	0.882	0.894	0.906	0.918	0.93	0.942	0.954	0.966	0.978	0.99	1.002	1.014	1.026	1.038	1.05	1.062	1.074	1.086	1.098	1.11	1.122	1.134	1.146	1.158	1.17	1.182	1.194
