Time	Grain1	Grain2	Grain3	Grain4	Grain5	Grain6	Grain7	Grain8	Grain9	Grain10	Grain11	Grain12	Grain13	Grain14	Grain15	Grain16	Grain17	Grain18	Grain19	Grain20	Grain21	Grain22	Grain23	Grain24	Grain25	Grain26	Grain27	Grain28	Grain29	Grain30	Grain31	Grain32	Grain33	Grain34	Grain35	Grain36	Grain37	Grain38	Grain39	Grain40	Grain41	Grain42	Grain43	Grain44	Grain45	Grain46	Grain47	Grain48	Grain49	Grain50	Grain51	Grain52	Grain53	Grain54	Grain55	Grain56	Grain57	Grain58	Grain59	Grain60	Grain61	Grain62	Grain63	Grain64	Grain65	Grain66	Grain67	Grain68	Grain69	Grain70	Grain71	Grain72	Grain73	Grain74	Grain75	Grain76	Grain77	Grain78	Grain79	Grain80	Grain81	Grain82	Grain83	Grain84	Grain85	Grain86	Grain87	Grain88	Grain89	Grain90	Grain91	Grain92	Grain93	Grain94	Grain95	Grain96	Grain97	Grain98	Grain99	Grain100
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5e-06	4.94185e-07	1.75449e-09	7.16703e-14	5.5401e-21	4.20345e-32	3.39531e-49	3.17272e-75	1.20377e-114	3.8111e-174	9.31418e-264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1e-05	9.72313e-07	1.95562e-08	1.07783e-11	4.11021e-17	1.0786e-25	5.59939e-39	2.69473e-59	3.7779e-90	8.49441e-137	3.9287e-207	5.40498e-313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.5e-05	1.40936e-06	7.82651e-08	1.9844e-10	7.39869e-15	5.91148e-22	5.14624e-33	5.37301e-50	7.60756e-76	5.48812e-115	4.61204e-174	4.91374e-263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2e-05	1.77929e-06	2.02944e-07	1.52653e-09	2.86792e-13	2.57373e-19	8.40712e-29	2.01413e-43	9.90318e-66	1.46115e-99	1.13534e-150	1.0752e-227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.5e-05	2.06306e-06	4.09443e-07	7.19144e-09	4.73374e-12	2.75694e-17	1.48158e-25	2.36262e-38	6.29947e-58	1.1727e-87	1.29072e-132	2.05999e-200	1.82574e-302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3e-05	2.2543e-06	6.9673e-07	2.4561e-08	4.50045e-11	1.19999e-15	6.27388e-23	3.02524e-34	1.33856e-51	5.32059e-78	5.77345e-118	2.85112e-178	4.34786e-269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.5e-05	2.36077e-06	1.04405e-06	6.64786e-08	2.8923e-10	2.7704e-14	9.77182e-21	8.21818e-31	2.64167e-46	6.49164e-70	1.08179e-105	1.01606e-159	4.06257e-241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4e-05	2.40097e-06	1.41484e-06	1.50323e-07	1.38163e-09	3.97474e-13	7.21204e-19	7.03447e-28	8.90112e-42	5.39168e-63	3.47283e-95	7.83217e-144	3.6828e-217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4.5e-05	2.39778e-06	1.76666e-06	2.93794e-07	5.21385e-09	3.924e-12	2.96907e-17	2.44775e-25	7.57979e-38	5.54489e-57	4.73298e-86	5.1445e-130	2.55792e-196	3.95207e-296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5e-05	2.37193e-06	2.06313e-06	5.08106e-07	1.62028e-08	2.85773e-11	7.62194e-16	4.12094e-23	2.13257e-34	1.06267e-51	5.09035e-78	7.34726e-118	5.58607e-178	1.63114e-268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5.5e-05	2.33788e-06	2.2833e-06	7.91281e-07	4.27181e-08	1.61371e-10	1.32152e-14	3.80256e-21	2.40175e-31	5.08563e-47	6.73385e-71	4.46084e-107	1.05363e-161	5.3244e-244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6e-05	2.30263e-06	2.42514e-06	1.12508e-06	9.76973e-08	7.3325e-10	1.6424e-13	2.11026e-19	1.24899e-28	7.55606e-43	1.52417e-64	1.8956e-97	3.63857e-147	4.25699e-222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6.5e-05	2.26737e-06	2.50202e-06	1.47787e-06	1.97199e-07	2.75864e-09	1.53167e-12	7.56487e-18	3.34724e-26	4.1201e-39	7.60604e-59	8.26764e-89	4.09585e-134	1.98549e-202	2.95686e-305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7e-05	2.23212e-06	2.5331e-06	1.81291e-06	3.56226e-07	8.78934e-09	1.11137e-11	1.85357e-16	5.04191e-24	9.40951e-36	1.02227e-53	5.00662e-81	2.36915e-122	1.07124e-184	1.43641e-278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7.5e-05	2.19687e-06	2.53685e-06	2.09852e-06	5.82649e-07	2.41535e-08	6.461e-11	3.2496e-15	4.57911e-22	1.00156e-32	4.35012e-49	5.37342e-74	1.01703e-111	1.16221e-168	1.97878e-254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8e-05	2.16161e-06	2.52732e-06	2.316e-06	8.71679e-07	5.81209e-08	3.08317e-10	4.23325e-14	2.65718e-20	5.42659e-30	6.6973e-45	1.24994e-67	4.38677e-102	3.99857e-154	1.53265e-232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8.5e-05	2.12636e-06	2.5131e-06	2.46235e-06	1.20389e-06	1.24038e-07	1.23244e-09	4.22985e-13	1.03432e-18	1.61154e-27	4.17206e-41	7.4599e-62	2.45082e-93	6.3909e-141	1.18444e-212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9e-05	2.09111e-06	2.4981e-06	2.54757e-06	1.54858e-06	2.37363e-07	4.19848e-09	3.33052e-12	2.81505e-17	2.79362e-25	1.15664e-37	1.31859e-56	2.20104e-85	6.56516e-129	1.48727e-194	2.23812e-293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9.5e-05	2.05585e-06	2.48309e-06	2.58869e-06	1.8716e-06	4.11241e-07	1.23709e-08	2.11508e-11	5.5516e-16	2.98448e-23	1.549e-34	7.81048e-52	3.82674e-78	5.7318e-118	4.6165e-178	1.47185e-268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0001	2.0206e-06	2.46807e-06	2.60267e-06	2.1447e-06	6.50718e-07	3.19349e-08	1.10544e-10	8.18358e-15	2.05987e-21	1.07616e-31	1.72624e-47	1.51394e-71	5.42234e-108	5.10154e-163	6.48951e-246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.000105	1.98534e-06	2.45306e-06	2.60256e-06	2.3522e-06	9.48049e-07	7.30423e-08	4.83949e-10	9.26591e-14	9.57328e-20	4.12894e-29	1.56425e-43	1.57043e-65	6.87731e-99	2.76339e-149	3.10033e-225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.00011	1.95009e-06	2.43805e-06	2.59659e-06	2.49283e-06	1.28182e-06	1.49504e-07	1.80243e-09	8.25444e-13	3.10752e-18	9.24572e-27	6.31598e-40	4.84082e-60	1.41143e-90	9.73137e-137	2.45207e-206	4.33104e-311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.000115	1.91484e-06	2.42303e-06	2.58893e-06	2.57663e-06	1.62108e-06	2.76308e-07	5.78989e-09	5.91016e-12	7.27796e-17	1.26912e-24	1.22355e-36	4.95573e-55	5.53946e-83	2.8631e-125	4.6785e-189	4.31306e-285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.00012	1.87958e-06	2.40802e-06	2.58108e-06	2.61931e-06	1.9334e-06	4.64891e-07	1.62378e-08	3.46631e-11	1.26602e-15	1.11576e-22	1.21488e-33	1.86086e-50	4.82646e-76	8.80442e-115	3.01382e-173	2.66225e-261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.000125	1.84433e-06	2.393e-06	2.57323e-06	2.6366e-06	2.19343e-06	7.17557e-07	4.01931e-08	1.69378e-10	1.67876e-14	6.5346e-21	6.55995e-31	2.80163e-46	1.06718e-69	3.45928e-105	8.86067e-159	1.60104e-239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
